REF_DATE,Automobile dealers [4411],"Automotive parts, accessories and tire stores [4413]","Beer, wine and liquor stores [4453]",Building material and garden equipment and supplies dealers [444],Cannabis stores [453993],Clothing and clothing accessories stores [448],Clothing stores [4481],Convenience stores [44512],Department stores [4521],Electronics and appliance stores [443],Food and beverage stores [445],Furniture and home furnishings stores [442],Furniture stores [4421],Gasoline stations [447],General merchandise stores [452],Grocery stores [4451],Health and personal care stores [446],Home furnishings stores [4422],"Jewellery, luggage and leather goods stores [4483]",Miscellaneous store retailers [453],Motor vehicle and parts dealers [441],New car dealers [44111],Other general merchandise stores [4529],Other motor vehicle dealers [4412],Retail trade [44-45],Shoe stores [4482],Specialty food stores [4452],"Sporting goods, hobby, book and music stores [451]",Supermarkets and other grocery (except convenience) stores  [44511],Used car dealers [44112]
1991-01,,,481113.0,348553.0,,714982.0,,,635897.0,321830.0,3945700.0,379906.0,258598.0,1480378.0,1316016.0,,998432.0,121308.0,,251823.0,2484133.0,2085763.0,680119.0,,12588862.0,,,347110.0,3031651.0,
1991-02,,,508191.0,345950.0,,685731.0,,,658182.0,319908.0,3714090.0,409825.0,273596.0,1291283.0,1280562.0,,979526.0,136229.0,,276688.0,2536615.0,2109098.0,622380.0,,12154321.0,,,314143.0,2785956.0,
1991-03,,,622511.0,454501.0,,914979.0,,,849138.0,395545.0,4310123.0,488117.0,326424.0,1344143.0,1610981.0,,1041070.0,161693.0,,312273.0,3110183.0,2603642.0,761843.0,,14337072.0,,,355157.0,3202762.0,
1991-04,,,579380.0,542013.0,,988205.0,,,892845.0,367436.0,4037907.0,533579.0,361476.0,1346809.0,1766033.0,,1025859.0,172103.0,,330720.0,3796699.0,3105848.0,873188.0,,15108570.0,,,373311.0,2996723.0,
1991-05,,,732711.0,829549.0,,1110745.0,,,1008001.0,365013.0,4684556.0,560348.0,374439.0,1505592.0,2063682.0,,1114109.0,185909.0,,403812.0,4176274.0,3411798.0,1055681.0,,17225734.0,,,412054.0,3414088.0,
1991-06,,,746541.0,775450.0,,1075086.0,,,961797.0,388477.0,4546114.0,572491.0,387142.0,1462871.0,1916886.0,,1043593.0,185348.0,,384671.0,3784721.0,3102061.0,955088.0,,16342833.0,,,392473.0,3259627.0,
1991-07,,,774011.0,710855.0,,925319.0,,,873387.0,380032.0,4436342.0,585029.0,388624.0,1563588.0,1834910.0,,1042459.0,196404.0,,377787.0,3755020.0,3051545.0,961523.0,,15996243.0,,,384901.0,3135695.0,
1991-08,,,836077.0,676250.0,,1074138.0,,,1003267.0,426205.0,4760800.0,584695.0,394367.0,1562208.0,1953263.0,,1082565.0,190329.0,,399048.0,3121365.0,2537793.0,949996.0,,16064910.0,,,424373.0,3370987.0,
1991-09,,,667018.0,647626.0,,1084948.0,,,939294.0,423130.0,4148753.0,544999.0,363546.0,1418286.0,1805234.0,,1037904.0,181453.0,,361430.0,3117713.0,2569403.0,865940.0,,15015317.0,,,425293.0,3011026.0,
1991-10,,,685703.0,665146.0,,1074978.0,,,1032758.0,415726.0,4340379.0,578550.0,377522.0,1465544.0,1958286.0,,1138558.0,201027.0,,374029.0,3183404.0,2593540.0,925528.0,,15606864.0,,,412264.0,3167682.0,
1991-11,,,742355.0,597808.0,,1237458.0,,,1345052.0,486058.0,4457511.0,602096.0,398487.0,1369753.0,2407123.0,,1173959.0,203609.0,,386815.0,3033258.0,2498760.0,1062071.0,,16237366.0,,,485530.0,3236569.0,
1991-12,,,1070026.0,498779.0,,1923888.0,,,1909361.0,693241.0,4844723.0,600357.0,384678.0,1328380.0,3215731.0,,1361780.0,215678.0,,522881.0,2570536.0,2147489.0,1306370.0,,18381340.0,,,821044.0,3269992.0,
1992-01,,,522107.0,380938.0,,763064.0,,,644502.0,388096.0,4131236.0,454204.0,306567.0,1348562.0,1366034.0,,1061203.0,147637.0,,275541.0,2553072.0,2154915.0,721532.0,,13084963.0,,,363014.0,3178595.0,
1992-02,,,543002.0,383608.0,,702175.0,,,699321.0,361178.0,4000904.0,450648.0,300882.0,1246556.0,1363797.0,,1033715.0,149765.0,,290661.0,2612494.0,2181620.0,664476.0,,12773972.0,,,328236.0,3035614.0,
1992-03,,,551927.0,486519.0,,840498.0,,,800443.0,406731.0,4019903.0,499385.0,331699.0,1311996.0,1555331.0,,1083071.0,167686.0,,312584.0,3335966.0,2801310.0,754887.0,,14198775.0,,,346792.0,3042035.0,
1992-04,,,617204.0,582187.0,,975016.0,,,960400.0,372810.0,4339292.0,540718.0,362790.0,1322572.0,1829604.0,,1120694.0,177928.0,,341581.0,3747527.0,3073407.0,869204.0,,15558390.0,,,386390.0,3247983.0,
1992-05,,,721576.0,848606.0,,1071763.0,,,990519.0,360774.0,4701499.0,546614.0,360899.0,1448002.0,1972136.0,,1156485.0,185715.0,,412123.0,3860268.0,3154632.0,981617.0,,16776396.0,,,398125.0,3469500.0,
1992-06,,,708895.0,854670.0,,1017970.0,,,952027.0,404000.0,4467248.0,605467.0,400940.0,1523834.0,1911989.0,,1149056.0,204527.0,,408159.0,3962059.0,3249853.0,959962.0,,16716231.0,,,411778.0,3260448.0,
1992-07,,,807923.0,781799.0,,951724.0,,,916219.0,394099.0,4735933.0,592048.0,391507.0,1594696.0,1878436.0,,1153375.0,200542.0,,404857.0,3735757.0,3039650.0,962217.0,,16637483.0,,,414758.0,3397183.0,
1992-08,,,733681.0,711418.0,,1038475.0,,,983860.0,411481.0,4497887.0,564204.0,369799.0,1517751.0,1885511.0,,1150473.0,194405.0,,405436.0,3236597.0,2643297.0,901650.0,,15842075.0,,,422842.0,3253599.0,
1992-09,,,646190.0,720564.0,,1125534.0,,,986726.0,456135.0,4346658.0,575885.0,386967.0,1411593.0,1859590.0,,1144039.0,188917.0,,387570.0,3341145.0,2760327.0,872864.0,,15812400.0,,,443688.0,3222332.0,
1992-10,,,701562.0,725092.0,,1139489.0,,,1081827.0,455529.0,4722369.0,597318.0,398306.0,1489270.0,2016281.0,,1241920.0,199012.0,,397979.0,3341222.0,2735935.0,934454.0,,16562268.0,,,435800.0,3515082.0,
1992-11,,,621359.0,645240.0,,1193372.0,,,1288568.0,491089.0,4194090.0,598786.0,397100.0,1395970.0,2302026.0,,1203808.0,201686.0,,381283.0,3122434.0,2581527.0,1013458.0,,16015869.0,,,487772.0,3132012.0,
1992-12,,,1122377.0,592833.0,,1989279.0,,,1984843.0,763821.0,5253616.0,648081.0,418928.0,1397727.0,3313637.0,,1471253.0,229153.0,,560916.0,2818694.0,2360172.0,1328794.0,,19682921.0,,,873065.0,3620157.0,
