,Name,Type,ABV,Ratings,Average,-
0,Blueberry Colorambic,Wild Ale,5.7,6,4.33,-
1,Bourbon Barrel Brown,Wild Ale,5.5,2,4.25,-
2,Coffee Sour,Wild Ale,5.5,3,4.17,-
3,Colorado Native Amber Lager,Lager - American Amber / Red,5.5,259,3.67,-
4,Colorado Native Double IPL,Lager - India Pale Lager (IPL),8.5,4,4.03,-
5,Colorado Native Golden Lager,Lager - American,5.7,24,3.46,-
6,Colorado Native Good As Golden,Lager - American,5.5,2,4.05,-
7,Colorado Native Imperial Porter,Porter - Imperial,9.5,4,4.01,-
8,Colorado Native IPL,Lager - India Pale Lager (IPL),6.5,39,3.52,-
9,Colorado Native Mtn Pass Pils,Lager - American,5,1,4.09,-
10,Colorado Native Olathe,Lager - Adjunct,6,5,3.18,-
11,Colorado Native Pilsner,Pilsner - German,5,15,3.91,-
12,Colorado Native Saison,Farmhouse Ale - Saison,4.5,9,3.75,-
13,Colorado Native West Slope IPA,IPA - American,5.5,16,3.2,-
14,Colorado Native Winterfest,Bock - Traditional,7,5,3.95,-
15,Ctayt,Stout - Russian Imperial,0,71,4.12,-
16,Ctayt - Russian Imperial Stout,Stout - Russian Imperial,11.5,17,4.21,-
17,Herman Joseph's Private Reserve,Pilsner - German,4.95,29,3.74,-
18,Hidden Barrel Apricot,Wild Ale,5.4,91,4.02,-
19,Hidden Barrel Peche,Wild Ale,5.5,129,4.09,-
20,Scotch N Sour,Wild Ale,5.7,6,3.79,-
21,Wheat Wine,Wheat Beer - Wheatwine,10,1,4.22,-
22,Winterfest,Lager - Vienna,5.5,33,3.32,-
