,Name,Type,ABV,Ratings,Average,-
0,Altitude,Lager - Adjunct,6.4,1,3.05,-
1,Batch 19,Lager - Adjunct,5.5,"1,270",3.36,-
2,Blue Man Table Pilsner,Lager - American Amber / Red,4.9,2,2.57,-
3,Blue Moon 2nd Anniversary,Strong Ale - American,13,2,3.88,-
4,Blue Moon Agave Nectar Ale,Wheat Beer - American Pale,5.6,874,3.03,-
5,Blue Moon Barrel Aged Bourbon Breakfast Brown Ale,Brown Ale - American,13.2,1,5,-
6,Blue Moon Belgian Pale Ale,Pale Ale - Belgian,5.4,3,3.43,-
7,Blue Moon Belgian Table Pils,Lager - American,4.2,178,3.35,-
8,Blue Moon Belgian White,Wheat Beer - Witbier,5.4,"7,559",3.43,-
9,Blue Moon Blackberry Tart Ale,Fruit and Field Beer,5.8,329,3.09,-
10,Blue Moon Cappuccino Oatmeal Stout,Stout - Oatmeal,5.9,340,3.62,-
11,Blue Moon Caramel Apple Spiced Ale,Herb and Spice Beer,5.8,451,3.08,-
12,Blue Moon Chocolate Banana Porter,Porter - American,5.8,1,4.02,-
13,Blue Moon Cinnamon Horchata Ale,Herb and Spice Beer,5.5,733,3.59,-
14,Blue Moon Cocoa Brown Ale,Brown Ale - American,4.9,40,3.41,-
15,Blue Moon Cranberry Lavender Blonde,Blonde Ale - American,6.1,1,3.75,-
16,Blue Moon Double IPA,IPA - Imperial,8.5,0,0,-
17,Blue Moon Farmhouse Red Ale,Farmhouse Ale - Saison,5.4,372,3.15,-
18,Blue Moon First Peach Ale,Brown Ale - American,5.6,329,3.4,-
19,Blue Moon Gingerbread Spiced Ale,Herb and Spice Beer,5.9,385,3.31,-
20,Blue Moon Grape Scott,Fruit and Field Beer,9,6,3.07,-
21,Blue Moon Harvest Pumpkin Wheat,Pumpkin Beer,5.7,"2,826",3.14,-
22,Blue Moon Iced Coffee Blonde,Blonde Ale - American,5.5,82,3.65,-
23,Blue Moon Lemondrop Pilsner,Pilsner - German,5.5,1,3.5,-
24,Blue Moon LightSky,Wheat Beer - American Pale,4,27,3.57,-
25,Blue Moon Lumination,Porter - American,5.2,1,4,-
26,Blue Moon Mango Wheat,Fruit and Field Beer,5.4,230,3.57,-
27,Blue Moon Mexican Chocolate,Stout - American,5.5,6,4.21,-
28,Blue Moon Mojito Blonde,Blonde Ale - American,6.5,3,3.83,-
29,Blue Moon Orange Blossom Honey,Kölsch,5.5,1,3.5,-
30,Blue Moon Proximity,Wheat Beer - American Pale,8.5,91,3.15,-
31,Blue Moon Rising Moon Spring Ale,Red Ale - American Amber / Red,5.4,351,2.97,-
32,Blue Moon Rounder Belgian-Style Pale,Pale Ale - Belgian,5.6,809,3.14,-
33,Blue Moon Rum BA Maple Pumpkin,Pumpkin Beer,11.4,3,3.75,-
34,Blue Moon Russian Imperial Stout,Stout - Russian Imperial,10,0,0,-
35,Blue Moon Short Straw Farmhouse Red Ale,Farmhouse Ale - Saison,5.4,771,3.12,-
36,Blue Moon Spiced Amber Ale,Red Ale - American Amber / Red,5.6,214,3.45,-
37,Blue Moon Spring Blonde Wheat Ale,Wheat Beer - American Pale,5.4,406,2.8,-
38,Blue Moon Summer Honey Wheat,Wheat Beer - American Pale,5.2,"1,197",3.12,-
39,Blue Moon Summer Sour,Sour - Gose,5,1,4,-
40,Blue Moon Tongue Thai-Ed,Herb and Spice Beer,7.5,94,2.9,-
41,Blue Moon Valencia Amber Ale,Red Ale - American Amber / Red,5.9,479,3.07,-
42,Blue Moon Vintage Blonde Ale,Strong Ale - Belgian Pale,8.5,84,3.35,-
43,Blue Moon White Hot Wit,Wheat Beer - Witbier,6.3,1,4,-
44,Blue Moon White IPA,IPA - American,5.9,573,3.41,-
45,Blue Moon Wild Pitch,Wheat Beer - Hefeweizen,5.8,1,2.56,-
46,Blue Moon Winter Wheat,Herb and Spice Beer,5.9,48,3.63,-
47,Carling,Lager - Adjunct,8,0,0,-
48,Coors Banquet,Lager - Adjunct,5,"3,176",2.61,-
49,Coors Edge,Low Alcohol Beer,0.5,4,2.23,-
50,Coors Extra Gold,Lager - Adjunct,5,324,2.58,-
51,Coors Light,Lager - Light,4.2,"5,519",1.99,-
52,Coors Light Citrus Radler,Fruit and Field Beer,4.2,70,2.77,-
53,Coors Light Iced T,Lager - Adjunct,4,54,1.79,-
54,Coors Light Summer Brew,Fruit and Field Beer,3.9,269,2.43,-
55,Coors Non-Alcoholic,Low Alcohol Beer,0.5,97,2.14,-
56,Coors Organic,Lager - Light,3.8,1,3.11,-
57,Coors Peak,Lager - Adjunct,4.7,7,2.26,-
58,George Killian's Irish Red,Lager - American Amber / Red,4.9,"3,180",3.06,-
59,George Killian's Irish Red (3.2%),Lager - Light,3.2,79,2.72,-
60,George Killian's Irish Stout,Stout - Irish Dry,4.9,335,3.34,-
61,IronMoon: Blueberry Berliner,Sour - Berliner Weisse,5.2,1,3.67,-
62,Keystone Ice,Lager - Adjunct,5.9,776,1.65,-
63,Keystone Light,Lager - Light,4.1,"2,129",1.73,-
64,Keystone Light Keylightful,Fruit and Field Beer,4.1,8,2.99,-
65,Keystone Light Lime,Lager - Light,4.2,10,2.74,-
66,Keystone Premium,Lager - Adjunct,4.4,158,1.76,-
67,Keystone V9,Red Ale - American Amber / Red,5.9,6,2,-
68,Miller Ace,Lager - Adjunct,8,1,2.45,-
69,Third Shift Amber Lager,Lager - American Amber / Red,5.3,"1,246",3.02,-
70,Third Shift Session IPA,IPA - American,0,9,2.34,-
71,Thunderbolt,Lager - Adjunct,7.5,1,2.94,-
