,Name,Type,ABV,Ratings,Average,-
0,3 Kings Celebration Ale,Winter Warmer,5.5,1,3.63,-
1,Archway Lager,Blonde Ale - American,4,4,3.7,-
2,Blarney Blonde,Blonde Ale - American,4.2,14,3.56,-
3,Boh Pils,Pilsner - Bohemian / Czech,4.5,0,0,-
4,Chieftain IPA,IPA - American,5.5,58,3.75,-
5,Croaking Lizard Brown Ale,Brown Ale - English,5,1,2.95,-
6,Friar Weisse,Wheat Beer - Hefeweizen,4.7,34,3.55,-
7,Hopfven Weisse,Wheat Beer - Dunkelweizen,5,2,4.25,-
8,Jameson Pale Ale,Pale Ale - English,6,3,4.11,-
9,Pilgrims Session Pale Ale,Pale Ale - English,4,2,3.17,-
10,Preacher's Best Bitter,Bitter - English,4.3,1,2.75,-
11,Purgatory Pale Ale,Pale Ale - American,4.5,12,3.9,-
12,Rebel Lager,Lager - European Pale,4.2,8,3.38,-
13,Rebel Red,Red Ale - Irish,4.3,89,3.68,-
14,Shandon Stout,Stout - Irish Dry,4.3,26,3.87,-
15,Shoot The Breeze,California Common / Steam Beer,4.5,1,3.29,-
