,Name,Type,ABV,Ratings,Average,-
0,541 Lager,Lager - American,5,34,3.36,-
1,Ahtanum Single Hop Pale Ale,Pale Ale - American,5,1,3.53,-
2,Alpha Centauri Binary IPA,IPA - Imperial,9,352,4.07,-
3,Alphadelic IPA,IPA - American,7.2,351,3.85,-
4,Bambino Stash India Pale Ale,IPA - American,5.5,17,3.66,-
5,Bandon Dunes Pale Ale,Pale Ale - American,5.5,2,4.23,-
6,Blonde Ale,Blonde Ale - American,5,7,3.62,-
7,Blueberry Sour Saison,Farmhouse Ale - Saison,7.7,1,4.01,-
8,Bubble Stash,IPA - American,0,0,0,-
9,Bubble Stash,IPA - American,6.2,90,3.9,-
10,Bulle Bulle,IPA - Imperial,8.3,9,3.85,-
11,Christmas Mistress,IPA - American,6.5,4,3.87,-
12,Citrus Mistress,IPA - American,6.3,405,3.91,-
13,Cryo Stash Imperial IPA,IPA - Imperial,8.7,46,3.87,-
14,Czech Your Head Pils,Pilsner - Bohemian / Czech,5.6,22,3.63,-
15,Delicate Thunder,Pale Ale - American,4.5,3,3.56,-
16,Divine Shine,Pale Ale - American,4.5,26,3.68,-
17,Double D Blonde,Blonde Ale - American,4.9,53,3.6,-
18,Doubledelic,IPA - Imperial,9.6,9,3.9,-
19,Dub Dub,IPA - Imperial,8.3,2,3.63,-
20,Duper Bock,Bock - Doppelbock,5.9,1,3.5,-
21,Elias Briggs Cream Ale,Cream Ale,0,5,3.14,-
22,Festeroo Winter Ale,Winter Warmer,7.8,45,3.74,-
23,Galactose Milk Stout,Stout - Sweet / Milk,4.8,3,3.68,-
24,Hop Fresh Pale Ale,Pale Ale - American,5.3,2,3.2,-
25,Imperial Mistress,IPA - Imperial,8.5,10,3.93,-
26,Lemon Fellow,Stout - Oatmeal,6,1,4,-
27,Light Me Up Lager,Lager - American,4,26,2.99,-
28,Macho Libre IPA,IPA - Imperial,8.7,20,3.9,-
29,Mango & Stash,IPA - American,6,22,3.74,-
30,Mr. Orange,Pale Ale - American,5.9,5,3.65,-
31,Natty Red,Red Ale - American Amber / Red,8,4,3.62,-
32,Natty Red Nitro,Red Ale - American Amber / Red,8,1,4,-
33,Neon Prince,IPA - American,4.5,17,3.57,-
34,Operation Vacation,Pale Ale - American,5.5,27,3.67,-
35,Pale Ale,Pale Ale - American,5.4,6,3.9,-
36,Palisaderade,IPA - American,6.1,1,3.94,-
37,Passion Stash,IPA - American,6.4,1,4,-
38,Patty's Irish Red Lager,Lager - American Amber / Red,5.4,1,3.5,-
39,Pick And Grin IPA,IPA - American,6.8,1,3.75,-
40,Pollination Summer Ale,Blonde Ale - American,5.5,10,3.43,-
41,Proxima IPA,IPA - American,6.2,83,3.77,-
42,Red Ale,Red Ale - American Amber / Red,6,13,3.85,-
43,Red Can Light Lager,Lager - Light,4.1,1,4,-
44,Reveal,Pale Ale - American,6,3,3.58,-
45,Secret Chief Stout,Stout - American,5.3,9,3.77,-
46,Smile Stash,IPA - American,6.5,1,4,-
47,Smurf Juice,IPA - American,5,1,3.77,-
48,Solid Baby,IPA - American,7.4,7,3.78,-
49,Stash Exotic Hazy Blonde Ale,Blonde Ale - American,4.5,0,0,-
50,Stash Panda,IPA - New England,6.5,5,3.86,-
51,Stella IPA,IPA - American,0,1,3.5,-
52,Stepchild Red,Red Ale - American Amber / Red,6.1,24,3.6,-
53,Stout,Stout - American,8,2,4.05,-
54,The Heff,Wheat Beer - American Pale,4.9,9,3.41,-
55,Vanilla Infused Porter (V.I.P.),Porter - American,5.9,139,3.77,-
