,Name,Type,ABV,Ratings,Average,-
0,Astika,Lager - European Pale,4.5,17,2.84,-
1,Astika Tumno,Lager - European Dark,5.6,3,3.08,-
2,Kamenitza,Lager - European Pale,4.5,50,2.83,-
3,Kamenitza 0%,Low Alcohol Beer,0.3,2,2.06,-
4,Kamenitza 1881,Lager - European Pale,4.4,19,2.5,-
5,Kamenitza Dark Beer,Lager - European Dark,5,8,3.32,-
6,Kamenitza Dark Cherry,Fruit and Field Beer,2.8,2,3.12,-
7,Kamenitza Fresh,Lager - European Pale,3.6,1,2.59,-
8,Kamenitza Fresh Elderberry And Lemon,Lager - European Pale,2,0,0,-
9,Kamenitza Fresh Grapefruit,Lager - European Pale,2,0,0,-
10,Kamenitza Fresh Lemon,Fruit and Field Beer,2,3,2.38,-
11,Kamenitza Lev,Lager - European Pale,5,5,3.37,-
12,Kamenitza Staro Pivo,Lager - European Pale,4.8,2,3.15,-
13,Kamenitza Svetlo,Lager - Adjunct,4.4,12,2.81,-
14,Kamenitza Unfiltered,Lager - European Pale,4.95,0,0,-
15,Kanenitza Tamno,Lager - Munich Dunkel,5,4,3.29,-
16,Slavena,Lager - Adjunct,3.4,1,1.76,-
