,Name,Type,ABV,Ratings,Average,-
0,Bennett Dominion Ale,Pale Ale - American,5,11,2.53,-
1,Black Horse,Lager - Adjunct,5,28,2.86,-
2,Bohemian,Lager - Adjunct,5,38,2.81,-
3,Calgary Beer,Lager - Adjunct,5,12,2.7,-
4,Carling Beer,Lager - Adjunct,4,87,2.34,-
5,Carling Black Ice,Lager - Adjunct,6.1,62,2.4,-
6,Carling Black Label,Lager - Adjunct,5,216,2.44,-
7,Carling Black Label Big 10%,Lager - Malt Liquor,10.1,8,2.79,-
8,Carling Black Label Dry,Lager - Adjunct,6.1,5,2.6,-
9,Carling Black Label Extra Old Stock,Lager - Malt Liquor,5.65,14,2.83,-
10,Carling Black Label Light,Lager - Light,4,4,2.81,-
11,Carling Black Label Suprême 8.0%,Lager - Malt Liquor,8,6,2.56,-
12,Carling Dry,Lager - Adjunct,5.5,5,2.4,-
13,Carling Extra Dry,Lager - Adjunct,5.6,5,2.4,-
14,Carling Ice,Lager - Adjunct,5.5,25,2.56,-
15,Carling Lager,Lager - Adjunct,4.9,42,2.3,-
16,Carling Light,Lager - Light,4,10,2.27,-
17,Coors Altitude,Lager - Adjunct,6.4,10,2.6,-
18,Coors Slice,Lager - Adjunct,4.2,3,3.79,-
19,Coors Slice Lime,Lager - Light,4.2,3,3.34,-
20,India Beer,Blonde Ale - American,5,15,3,-
21,Keystone Ice,Lager - Adjunct,5.5,49,1.71,-
22,Keystone Lager,Lager - Adjunct,4.9,146,1.88,-
23,Laurentide,Blonde Ale - American,5,16,2.81,-
24,Mad Jack Ginger Flavoured Lager,Herb and Spice Beer,5,7,3.02,-
25,Mad Jack Hard Core Strong Apple Lager,Fruit and Field Beer,7,2,2.45,-
26,Mad Jack Hard Root Beer,Herb and Spice Beer,5,12,3.02,-
27,Mad Jack Premium Apple Lager,Fruit and Field Beer,5,27,2.84,-
28,Mad Jack Suckerpunch Strong Lemon Lager,Fruit and Field Beer,7,4,2.65,-
29,Molson .5,Low Alcohol Beer,0.5,5,1.58,-
30,Molson Brador,Lager - Malt Liquor,6,61,2.89,-
31,Molson Canadian 6.0 Cold Shots,Lager - Adjunct,6,77,2.32,-
32,Molson Canadian 67,Lager - Light,3,64,1.85,-
33,Molson Canadian 67 Session IPA,IPA - American,3,12,2.97,-
34,Molson Canadian 67 Sublime,Lager - Light,3,23,2.3,-
35,Molson Canadian 67 Tangerine Twist,Lager - Light,3,3,2.13,-
36,Molson Canadian Ice,Lager - Adjunct,5.5,81,2.47,-
37,Molson Canadian Lager,Lager - Adjunct,5,"1,902",2.83,-
38,Molson Canadian Light,Lager - Light,4,153,2.52,-
39,Molson Canadian Wheat,Lager - Adjunct,4.5,51,2.75,-
40,Molson Club Ale,Blonde Ale - American,5,1,2.63,-
41,Molson Dry,Lager - Adjunct,5.5,173,2.43,-
42,Molson Dry 10.1,Lager - Malt Liquor,10.1,5,2.12,-
43,Molson Dry 6.5 (Hi Dry),Lager - Adjunct,6.5,4,2.36,-
44,Molson Dry 8.5,Lager - Malt Liquor,8.5,3,2.14,-
45,Molson Dry Cold Shots,Lager - Adjunct,6.55,10,2.2,-
46,Molson Exel,Low Alcohol Beer,0.5,20,2.32,-
47,Molson Export,Blonde Ale - American,5,310,2.94,-
48,Molson Fireside Lager,Lager - Schwarzbier,4.6,12,3.52,-
49,Molson Golden,Lager - American,5,675,2.73,-
50,Molson Ice,Lager - Adjunct,5.6,517,2.51,-
51,Molson M,Lager - Adjunct,4.9,98,2.43,-
52,Molson OV (Old Vienna),Lager - Vienna,5,92,2.8,-
53,Molson Stock Ale,Pale Ale - American,5,40,2.83,-
54,Molson Ultra,Lager - Light,3,7,1.82,-
55,Molson XXX,Lager - Malt Liquor,7.3,590,2.52,-
56,O'Keefe Ale,Blonde Ale - American,5,25,2.55,-
57,O'Keefe Extra Old Stock,Lager - Malt Liquor,5.65,7,2.45,-
58,Old Style Pilsner,Pilsner - German,5,168,2.9,-
59,Rickard's Blonde,Pilsner - German,5,123,3.04,-
60,Rickard's Dark,Porter - English,4.8,184,3.08,-
61,Rickard's Lederhosen,Lager - Märzen / Oktoberfest,6.5,37,3.18,-
62,Rickard's Radler,Fruit and Field Beer,3.2,22,3.25,-
63,Rickard's Red,Lager - American Amber / Red,5.2,463,3.14,-
64,Rickard's Red IPA,IPA - American,5.7,29,3.63,-
65,Rickard's Red Session Lager,Lager - American Amber / Red,4,9,3.29,-
66,Rickard's White,Wheat Beer - Witbier,5.4,266,3.15,-
