,Name,Type,ABV,Ratings,Average,-
0,3 Up 3 Down unfiltered IPA,IPA - American,7,1,3.45,-
1,Ales From The Wood: Richland Reserve Vol. 2,Stout - Sweet / Milk,11,62,4.1,-
2,All American Oat Pale Ale,Pale Ale - American,6.5,27,3.79,-
3,Barrel Aged Moo-Hoo On Raspberries,Stout - Sweet / Milk,6.5,12,3.6,-
4,Barrel Aged Tiramisu-Hoo,Stout - American Imperial,11,1,4.75,-
5,Beyond The Galaxy,IPA - American,6.3,87,3.78,-
6,Big Hoppy Monster - Oaked,Red Ale - Imperial,10.3,565,3.89,-
7,Blueberry Thyme Saison,Farmhouse Ale - Saison,9.1,19,3.52,-
8,Bourbon Barrel Aged Hopzilla,IPA - Imperial,10.7,6,4.18,-
9,Bourbon Barrel Wake-n-Bake,Stout - American Imperial,9.4,25,4.31,-
10,Chopsecutioner,IPA - American,5,44,3.52,-
11,Cinnamon Roll'd WnB Oatmeal Stout,Stout - Oatmeal,9.4,771,4.31,-
12,Cloverleaf,Stout - Irish Dry,4.1,1,4.09,-
13,Cryosphere,IPA - American,5.5,7,3.29,-
14,Cumulus Lupulus,IPA - Imperial,8.1,68,4,-
15,Dancing Gummy Beer,Sour - Berliner Weisse,4.2,3,3.23,-
16,Frenchy's Blues,Sour - Berliner Weisse,5,0,0,-
17,Full Of Balarney,Stout - Irish Dry,4.2,57,3.57,-
18,Gamma Ray,Wheat Beer - Wheatwine,10.8,503,3.81,-
19,Golden Ale,Cream Ale,5,464,3.46,-
20,Golden Apple Pie,Cream Ale,5,1,3.33,-
21,Good To Gose,Sour - Gose,4.5,49,3.68,-
22,Grapefruit Hi-5 IPA,IPA - American,5.9,12,3.85,-
23,Hawkes’ Grog Ale,Wheat Beer - American Pale,5.3,5,2.87,-
24,Hi-5 IPA,IPA - American,5.9,8,3.83,-
25,High & Hazy,IPA - New England,5.8,17,3.98,-
26,Hop Selection,IPA - Imperial,8.4,5,3.16,-
27,Hoppin' Bubbly,IPA - Brut,6.5,37,3.76,-
28,Hopsecutioner,IPA - American,7.3,"3,654",3.83,-
29,Incoming Batsman,IPA - English,6.2,3,3.66,-
30,Irish BUH-BYE Wake-N-Bake,Stout - American Imperial,9.4,46,4.26,-
31,Jazz Cabbage,IPA - American,6,43,3.76,-
32,Liquid Bliss,Porter - American,6.1,"1,556",3.84,-
33,Los Bravos,Lager - Vienna,5.1,3,3.79,-
34,Luau Krunkles,IPA - American,6.5,285,3.92,-
35,Maggie's Farmhouse Ale - Peach,Farmhouse Ale - Saison,5.3,689,3.51,-
36,Magic Brownie,Porter - American,6.63,7,3.55,-
37,Moo-Hoo Chocolate Milk Stout,Stout - Sweet / Milk,6.1,"2,650",3.98,-
38,Moo-HooChiato,Stout - Sweet / Milk,8.5,540,4.14,-
39,Moo-Tella: Chocolate Hazelnut Imperial Milk Stout,Stout - Sweet / Milk,8.5,64,3.84,-
40,Mosaic Red Rye IPA,IPA - American,6.3,501,3.82,-
41,Mo’ara High Country Ale,Lager - American Amber / Red,5.2,2,3.34,-
42,One Hopper Simcoe Pale Ale,Pale Ale - American,5.5,1,3.9,-
43,Panama Krunkles,IPA - American,6.5,66,3.85,-
44,Peach Dreamsicle,IPA - Imperial,7.89,12,3.8,-
45,Poivre Potion,Farmhouse Ale - Saison,9.3,90,3.83,-
46,Pumpkinfest,Fruit and Field Beer,6.1,924,3.69,-
47,RecreationAle,Pale Ale - American,4.7,805,3.7,-
48,Rye Cubed,IPA - Imperial,10.7,336,3.8,-
49,Señor Krunkles,IPA - American,6.5,27,3.63,-
50,Side Project #28: Smoke On The Porter,Porter - Baltic,8.5,74,3.91,-
51,Side Project #31: Himalayan Pink Sea Salt Lime Gose,Sour - Gose,4.5,8,4.08,-
52,So Fresh & So Green,IPA - English,6.6,1,4,-
53,"So Fresh & So Green, Green",IPA - American,6.6,506,3.72,-
54,"So Fresh & So Green, Green 2019 Zuper Saazer",Pilsner - German,5.2,4,3.78,-
55,Sound Czech,Pilsner - Bohemian / Czech,5.5,164,3.84,-
56,Southpaw Stout,Stout - Foreign / Export,7,1,4.12,-
57,Strawberry Dreamsicle,IPA - American,7.9,3,3.6,-
58,Strike Zone,Pale Ale - American,5.1,1,3.85,-
59,Substance Abuse,Stout - American Imperial,0,39,4.16,-
60,T-Time,Sour - Berliner Weisse,4,54,3.67,-
61,Tangerine Dreamsicle,IPA - American,6.5,304,3.6,-
62,The Walking Dead Blood Orange IPA,IPA - American,7.7,297,3.69,-
63,Three Strikes You're Stout,Stout - Sweet / Milk,5,1,4.22,-
64,Touch of Grisette,Farmhouse Ale - Saison,4.5,7,3.36,-
65,Up-Hi IPA,IPA - American,5.9,"1,338",3.88,-
66,Wake-n-Bake Coffee Oatmeal Imperial Stout,Stout - Oatmeal,9.4,"4,054",4.3,-
67,Watermelon Gose,Sour - Gose,4.5,186,3.81,-
68,White Chocolate Moo-Hoo Milk Stout,Stout - Sweet / Milk,7.6,456,3.92,-
