,Data Targets,Label,Website,Notes
0,/beers/great-beers/aguila,Aguila,https://www.cervezaaguila.com/cerveza/cero,
1,/beers/great-beers/apatinsko,Apatinsko,http://www.apatinskapivara.rs/en/brendovi,
2,/beers/great-beers/,Aquarelle,https://www.aquarellespirits.ca/en-CA/home,"Not relevant, Vodka"
3,/beers/great-beers/arnold-palmer-spiked-half-half,Arnold Palmer Spiked Half & Half,https://www.arnoldpalmerspiked.com/?avtoken=eyJpYXQiOjE1OTUyNjU5ODEsImV4cCI6MTU5NTM1MjM4MSwiZGF0YSI6eyJpcCI6IjE4NC43My4xODYuNzgiLCJ1cmwiOiJodHRwczpcL1wvd3d3LmFybm9sZHBhbG1lcnNwaWtlZC5jb20ifX0.PhG_ZcKbZCdteB6gAMHQazIbryDqH5YQ8eGw7f33Bac,
4,/beers/great-beers/,Aspall,https://www.aspall.co.uk/,
5,/beers/great-beers/astika,Astika,https://en.wikipedia.org/wiki/Staropramen_Brewery,
6,/beers/great-beers/barmen,Barmen,https://www.molsoncoors.com/beers/great-beers/barmen,
7,/beers/great-beers/,Bella Amari,https://www.bellaamari.ca/en-CA/home,
8,/beers/great-beers/bergenbier,Bergenbier,"https://bergenbier.ro/, https://www.beeradvocate.com/beer/profile/1704/","owned by molson, untapped"
9,/beers/great-beers/,Bergenbier Non-Alcoholic,,
10,/beers/great-beers/,Black Horse,https://justbeerapp.com/beer/black-horse-1,
11,/beers/great-beers/,Black Ice,a molson beer,
12,https://avbypass2.millercoors.com/av/gate/?url=https%3A//www.bluemoonbrewingcompany.com,Blue Moon / Belgian Moon,https://www.bluemoonbrewingcompany.com/beers,
13,/beers/great-beers/,Blue Moon LightSky,,
14,/beers/great-beers/,Bohemian,https://www.beeradvocate.com/beer/profile/433/13414/,
15,/beers/great-beers/borsodi,Borsodi,https://www.beeradvocate.com/beer/profile/2209/,owned by molson
16,/beers/great-beers/,Branik,https://www.beeradvocate.com/beer/profile/437/19335/,Straporman beer
17,/beers/great-beers/,Burgasko,https://www.beeradvocate.com/beer/profile/2206/45027/,
18,/beers/great-beers/,Caffreys,https://www.beeradvocate.com/beer/profile/297/825/,
19,/beers/great-beers/cape-line,Cape Line Sparkling Cocktails,https://www.capeline.com/?avtoken=eyJpYXQiOjE1OTUyNjYxMTUsImV4cCI6MTU5NTM1MjUxNSwiZGF0YSI6eyJpcCI6IjE4NC43My4xODYuNzgiLCJ1cmwiOiJodHRwczpcL1wvd3d3LmNhcGVsaW5lLmNvbSJ9fQ.KM3L1QH7JNToe00JZa5ByLyIoSIeq44A92qmqdSaRnk,
20,/beers/great-beers/carling,Carling,http://www.carling.com/our-drinks,
