,Name,Type,ABV,Ratings,Average,Brewery
0,Blueberry Colorambic,Wild Ale,5.7,6,4.33,AC Golden Brewing Company
1,Bourbon Barrel Brown,Wild Ale,5.5,2,4.25,AC Golden Brewing Company
2,Coffee Sour,Wild Ale,5.5,3,4.17,AC Golden Brewing Company
3,Colorado Native Amber Lager,Lager - American Amber / Red,5.5,259,3.67,AC Golden Brewing Company
4,Colorado Native Double IPL,Lager - India Pale Lager (IPL),8.5,4,4.03,AC Golden Brewing Company
5,Colorado Native Golden Lager,Lager - American,5.7,24,3.46,AC Golden Brewing Company
6,Colorado Native Good As Golden,Lager - American,5.5,2,4.05,AC Golden Brewing Company
7,Colorado Native Imperial Porter,Porter - Imperial,9.5,4,4.01,AC Golden Brewing Company
8,Colorado Native IPL,Lager - India Pale Lager (IPL),6.5,39,3.52,AC Golden Brewing Company
9,Colorado Native Mtn Pass Pils,Lager - American,5,1,4.09,AC Golden Brewing Company
10,Colorado Native Olathe,Lager - Adjunct,6,5,3.18,AC Golden Brewing Company
11,Colorado Native Pilsner,Pilsner - German,5,15,3.91,AC Golden Brewing Company
12,Colorado Native Saison,Farmhouse Ale - Saison,4.5,9,3.75,AC Golden Brewing Company
13,Colorado Native West Slope IPA,IPA - American,5.5,16,3.2,AC Golden Brewing Company
14,Colorado Native Winterfest,Bock - Traditional,7,5,3.95,AC Golden Brewing Company
15,Ctayt,Stout - Russian Imperial,0,71,4.12,AC Golden Brewing Company
16,Ctayt - Russian Imperial Stout,Stout - Russian Imperial,11.5,17,4.21,AC Golden Brewing Company
17,Herman Joseph's Private Reserve,Pilsner - German,4.95,29,3.74,AC Golden Brewing Company
18,Hidden Barrel Apricot,Wild Ale,5.4,91,4.02,AC Golden Brewing Company
19,Hidden Barrel Peche,Wild Ale,5.5,129,4.09,AC Golden Brewing Company
20,Scotch N Sour,Wild Ale,5.7,6,3.79,AC Golden Brewing Company
21,Wheat Wine,Wheat Beer - Wheatwine,10,1,4.22,AC Golden Brewing Company
22,Winterfest,Lager - Vienna,5.5,33,3.32,AC Golden Brewing Company
0,Bergenbier,Lager - European Pale,5,31,2.38,Bergenbier SA
1,Bergenbier Ale,Pale Ale - Belgian,5.5,9,2.7,Bergenbier SA
2,Bergenbier Fara Alcool,Low Alcohol Beer,0,3,2.35,Bergenbier SA
3,Bergenbier Fresh Grapefruit,Fruit and Field Beer,1.9,3,2.65,Bergenbier SA
4,Bergenbier Fresh Lemon,Fruit and Field Beer,1.9,2,2.62,Bergenbier SA
5,Bergenbier Fresh Soc,Herb and Spice Beer,1.9,3,2.52,Bergenbier SA
6,Noroc,Lager - European Pale,4.5,8,2.05,Bergenbier SA
7,Staropramen,Lager - European Pale,5,9,2.73,Bergenbier SA
0,Borsodi,Lager - Adjunct,4.6,35,2.77,Borsodi Brewery
1,Borsodi Bivaly,Lager - European Strong,6.5,14,3.01,Borsodi Brewery
2,Borsodi Borostyán,Lager - Vienna,5.2,5,3.17,Borsodi Brewery
3,Borsodi Búza,Wheat Beer - Witbier,4.6,3,2.48,Borsodi Brewery
4,Borsodi Friss Bodza,Fruit and Field Beer,1.5,1,2.28,Borsodi Brewery
